Wall time,Step,Value
1692381862.1057947,20140,-4.197171211242676
1692381889.4860208,20187,-4.060861587524414
1692381908.4614596,20218,-4.179711818695068
1692381925.3832448,20245,-4.1497697830200195
1692381927.115651,20248,-4.083995819091797
1692381930.114969,20253,-3.972693681716919
1692381972.6104527,20324,-4.1408491134643555
1692381978.2354653,20335,-4.054393768310547
1692382009.6747327,20384,-4.003074645996094
1692382044.7665865,20441,-3.9949777126312256
1692382071.1735878,20486,-4.01180362701416
1692382094.9526558,20527,-3.9209816455841064
1692382101.5827103,20540,-4.043646812438965
1692382102.0940757,20541,-3.99630069732666
1692382116.1536787,20563,-3.983295202255249
1692382127.4350562,20579,-3.962333917617798
1692382194.051841,20690,-3.839871883392334
1692382205.399184,20711,-4.011378288269043
1692382246.8511705,20780,-3.820216178894043
1692382248.3886907,20783,-3.9041450023651123
1692382251.5216198,20784,-3.8316755294799805
1692382280.0594237,20832,-3.836482524871826
1692382295.7470562,20856,-3.902785539627075
1692382374.5365279,20988,-3.8008384704589844
1692382433.07236,21081,-3.853817939758301
1692382472.872156,21145,-3.7236485481262207
1692382513.6768634,21210,-3.7192585468292236
1692382526.4171958,21233,-3.751784563064575
1692382580.0237415,21317,-3.7386856079101562
1692382581.720119,21320,-3.746307611465454
1692382584.6424139,21325,-3.6725425720214844
1692382626.7860343,21392,-3.603299856185913
1692382636.8037136,21410,-3.7493300437927246
1692382685.9116566,21485,-3.726863145828247
1692382710.0393364,21524,-3.6322319507598877
1692382809.3812506,21682,-3.681671619415283
1692382836.2731986,21725,-3.6751060485839844
1692382878.2128496,21790,-3.7456214427948
1692382881.5250866,21796,-3.752711534500122
1692382899.0712073,21822,-3.760181188583374
1692382914.214724,21843,-3.7914280891418457
1692382917.622411,21849,-3.7613277435302734
1692383016.5646586,22007,-3.860656976699829
1692383169.2664182,22246,-3.947226047515869
1692383176.999727,22259,-3.914804220199585
1692383198.5589938,22293,-3.8767483234405518
1692383214.5558465,22317,-3.906433343887329
1692383222.3089054,22331,-3.7910714149475098
1692383240.822811,22359,-3.8376150131225586
1692383313.342217,22473,-3.9218671321868896
1692383335.7185538,22508,-3.868624448776245
1692383358.9964304,22545,-4.011140823364258
1692383416.1632397,22636,-3.8612899780273438
1692383501.4121463,22766,-3.9057083129882812
1692383550.0829551,22841,-3.824439525604248
1692383607.6743195,22931,-3.748779296875
1692383609.3272057,22934,-4.017439842224121
1692383704.980706,23081,-3.712841510772705
1692383707.2978003,23085,-4.0407843589782715
1692383734.5033045,23128,-3.5154271125793457
1692383740.694296,23139,-3.774085760116577
1692383749.1818016,23149,-3.4827051162719727
1692383771.925015,23183,-3.2727975845336914
1692383777.4403586,23193,-4.117673397064209
1692383791.987079,23219,-3.7465381622314453
1692383823.781441,23264,-3.994847297668457
1692383836.859121,23287,-3.5518741607666016
1692383871.1711817,23338,-3.63405442237854
1692383884.6366572,23362,-3.446208953857422
1692383897.9919727,23381,-3.481891393661499
1692383927.9002278,23428,-2.902261734008789
1692384001.2027938,23541,-3.3260557651519775
1692384032.230738,23590,-3.092498302459717
1692384084.3366156,23671,-2.5413286685943604
1692384090.4471335,23682,-2.7873876094818115
1692384105.3488176,23702,-2.5414278507232666
1692384152.5884798,23775,-2.553633213043213
1692384188.6503353,23832,-2.710547924041748
1692384258.948053,23939,-2.334990978240967
1692384350.7881615,24080,-2.1449830532073975
1692384376.4390461,24119,-2.0411531925201416
1692384392.955727,24148,-1.5913740396499634
1692384449.3596509,24235,-1.9302418231964111
1692384482.9626343,24283,-2.077816963195801
1692384484.159689,24285,-2.0529625415802
1692384509.3759906,24323,-1.700006365776062
1692384522.469065,24346,-1.5636990070343018
1692384569.6165948,24417,-1.6221964359283447
1692384660.2090034,24558,-1.5773216485977173
1692384703.2694273,24622,-1.299910545349121
1692384765.8548124,24720,-1.4441633224487305
1692384773.3154747,24728,-1.8957380056381226
1692384886.2249992,24902,-1.125351071357727
1692384907.9666448,24935,-1.281214952468872
1692384954.1335459,25009,-1.0465799570083618
1692384979.65515,25048,-1.0393983125686646
1692385038.8876123,25134,-0.9896531105041504
1692385084.7160604,25207,-0.9332709908485413
1692385102.08998,25232,-0.9788044691085815
1692385109.4861598,25245,-0.8856974244117737
1692385114.9494197,25254,-0.8880549073219299
1692385166.9670205,25333,-0.8387283086776733
1692385207.0625696,25392,-0.9749228358268738
1692385279.82779,25506,-0.8486719131469727
1692385291.818493,25521,-0.8504759073257446
1692385344.952655,25600,-0.8210065364837646
1692385401.78972,25687,-0.7803738713264465
1692385460.5315187,25776,-0.7906261086463928
1692385485.6113198,25813,-0.7868512868881226
1692385508.860408,25848,-0.80743408203125
1692385555.5582654,25922,-0.7629324793815613
1692385638.0261197,26046,-0.7355836033821106
1692385653.2717001,26067,-0.7507967948913574
1692385658.453583,26076,-0.7337892651557922
1692385667.4561646,26092,-0.761123776435852
1692385710.231852,26155,-0.7166403532028198
1692385710.8040302,26156,-0.7165313959121704
1692385718.8772318,26170,-0.6467536091804504
1692385800.415366,26293,-0.6799406409263611
1692385807.3926096,26304,-0.6811251044273376
1692385872.6301353,26404,-0.7547590136528015
1692385917.966075,26471,-0.6276335120201111
1692386051.1935527,26671,-0.6264293193817139
1692386134.957561,26798,-0.7108789682388306
1692386135.5518823,26799,-0.7849952578544617
1692386152.992052,26828,-0.6694434881210327
1692386154.1581552,26830,-0.5822994709014893
1692386220.4177957,26929,-0.8794576525688171
1692386321.4074962,27079,-0.6197789311408997
1692386362.3618028,27143,-0.6999469995498657
1692386365.8845034,27149,-0.6655451655387878
1692386372.8843524,27155,-1.202412724494934
1692386375.3020134,27159,-0.7516987323760986
1692386375.8910472,27160,-0.7243175506591797
1692386450.7194393,27275,-0.6797612905502319
1692386486.7545152,27330,-0.8340123891830444
1692386568.277142,27450,-0.7387598156929016
1692386604.617205,27506,-0.725813090801239
1692386672.0453455,27604,-0.6789677143096924
1692386677.8629453,27614,-0.6254711151123047
1692386681.9781458,27621,-0.6416797637939453
1692386692.3681753,27639,-0.6862280368804932
1692386732.7987103,27696,-0.7345642447471619
1692386761.8069115,27740,-0.6956924796104431
1692386815.6645129,27826,-0.6662341952323914
1692386875.9935818,27917,-0.791422426700592
1692386877.1335874,27919,-0.684348464012146
1692386899.3365102,27951,-0.8137515187263489
1692386913.053477,27969,-0.6684406995773315
1692387100.7124195,28252,-0.6437472105026245
1692387115.9270725,28278,-0.7004296779632568
1692387145.903342,28322,-0.8218949437141418
1692387181.5795777,28377,-0.7250500321388245
1692387225.7346284,28439,-0.6984566450119019
1692387233.572063,28452,-0.7232096195220947
1692387295.0153677,28544,-0.9826701879501343
1692387312.3445787,28573,-0.5911747813224792
1692387339.421176,28612,-0.8006442785263062
1692387526.9042687,28892,-0.7165228724479675
1692387580.9438787,28971,-0.675363302230835
1692387596.4943128,28997,-0.6962838768959045
1692387613.1018796,29019,-0.7082470059394836
1692387624.428149,29038,-0.6723499298095703
1692387642.775863,29063,-0.8438777923583984
1692387652.6443822,29079,-0.6098487377166748
1692387659.74727,29091,-0.8834772109985352
1692387688.764203,29134,-0.8199692368507385
1692387737.2718582,29202,-0.6831487417221069
1692387778.2711132,29264,-0.6844314932823181
1692387917.6339707,29472,-0.7289743423461914
1692387921.699869,29479,-0.7688706517219543
1692387930.6136534,29488,-0.781495988368988
1692387964.088684,29538,-0.6376798748970032
1692387965.887896,29541,-0.8019174337387085
1692387978.9443188,29562,-0.7726265788078308
1692388001.2894382,29593,-0.7912067174911499
1692388012.4905674,29612,-0.9309355616569519
1692388106.0268583,29748,-0.6508187055587769
1692388164.8909912,29829,-0.8545932173728943
1692388165.5174403,29830,-0.7221189141273499
1692388187.1364853,29864,-0.6499176025390625
1692388289.5145564,30001,-0.6546071171760559
1692388292.7876213,30006,-0.7048797607421875
1692388313.7496068,30032,-0.6859269142150879
1692388347.553097,30078,-0.6495556831359863
1692388356.8136458,30093,-0.6289531588554382
1692388419.0346498,30175,-0.616045355796814
1692388451.562523,30218,-0.7570445537567139
1692388468.23532,30244,-0.6981266736984253
1692388499.41253,30285,-0.6261720061302185
1692388531.650094,30328,-0.6688946485519409
1692388628.487582,30460,-0.6079568266868591
1692388637.1853404,30467,-0.6633955836296082
1692388639.7989883,30471,-0.6512749791145325
1692388715.5418062,30573,-0.5427749752998352
1692388742.0725486,30613,-0.5952078104019165
1692388813.4157524,30707,-0.5827040672302246
1692388825.7184424,30721,-0.5732588171958923
1692388837.192491,30739,-0.6225640773773193
1692389051.7964945,31053,-0.5881115794181824
1692389087.8489668,31106,-0.6860290765762329
